iata_prefix,region_key
IAD,united-states
CMH,united-states
SFO,united-states
PDX,united-states
SEA,united-states
DEN,united-states
PHX,united-states
DFW,united-states
ORD,united-states
ATL,united-states
MIA,united-states
EWR,united-states
BOS,united-states
MDW,united-states
LAS,united-states
LAX,united-states
PHL,united-states
PIT,united-states
MEX,mexico
YUL,canada
YYZ,canada
YVR,canada
YXU,canada
FRA,europe
STO,europe
MIL,europe
DUB,europe
LON,europe
PAR,europe
VIE,europe
ZRH,europe
LHR,europe
CDG,europe
AMS,europe
ARN,europe
CPH,europe
LIS,europe
MAD,europe
MXP,europe
DXB,middle-east
BAH,middle-east
RUH,middle-east
KWI,middle-east
CPT,south-africa
JNB,south-africa
GRU,south-america
BOG,south-america
LIM,south-america
SCL,south-america
NRT,japan
OSA,japan
HND,japan
SYD,australia
SIN,asia
JKT,asia
HKG,asia
SEL,asia
TPE,asia
KUL,asia
BKK,asia
ICN,asia
PNQ,asia
HIO,asia
MUM,india
BOM,india
DEL,india
MAA,india
BLR,india
HYD,india
